No,Fields Name,Path,Type,Deskripsi,Status
272,streamingProxyChannelId,ISAPI,XML Field,,FALSE
273,streamingProxyChannelId,ISAPI,XML Field,,FALSE
274,inputProxyPortIdList,ISAPI,XML Field,,FALSE
275,outputProxyPortIdList,ISAPI,XML Field,,FALSE
276,chanDetectResult,ISAPI,XML Field,,FALSE
277,PasswordStatus,ISAPI,XML Field,,FALSE
278,id,ISAPI,XML Field,,FALSE
279,proxyProtocol,ISAPI,XML Field,,FALSE
280,addressingFormatType,ISAPI,XML Field,,FALSE
281,ipAddress,ISAPI,XML Field,,FALSE
282,managePortNo,ISAPI,XML Field,,FALSE
283,srcInputPort,ISAPI,XML Field,,FALSE
284,userName,ISAPI,XML Field,,FALSE
285,streamType,ISAPI,XML Field,,FALSE
286,online,ISAPI,XML Field,,FALSE
287,streamingProxyChannelId,ISAPI,XML Field,,FALSE
288,streamingProxyChannelId,ISAPI,XML Field,,FALSE
289,inputProxyPortIdList,ISAPI,XML Field,,FALSE
290,outputProxyPortIdList,ISAPI,XML Field,,FALSE
291,chanDetectResult,ISAPI,XML Field,,FALSE
292,PasswordStatus,ISAPI,XML Field,,FALSE
293,id,ISAPI,XML Field,,FALSE
294,proxyProtocol,ISAPI,XML Field,,FALSE
295,addressingFormatType,ISAPI,XML Field,,FALSE
296,ipAddress,ISAPI,XML Field,,FALSE
297,managePortNo,ISAPI,XML Field,,FALSE
298,srcInputPort,ISAPI,XML Field,,FALSE
299,userName,ISAPI,XML Field,,FALSE
300,streamType,ISAPI,XML Field,,FALSE
301,online,ISAPI,XML Field,,FALSE
302,streamingProxyChannelId,ISAPI,XML Field,,FALSE
303,streamingProxyChannelId,ISAPI,XML Field,,FALSE
304,inputProxyPortIdList,ISAPI,XML Field,,FALSE
305,outputProxyPortIdList,ISAPI,XML Field,,FALSE
306,chanDetectResult,ISAPI,XML Field,,FALSE
307,PasswordStatus,ISAPI,XML Field,,FALSE
308,id,ISAPI,XML Field,,FALSE
309,proxyProtocol,ISAPI,XML Field,,FALSE
310,addressingFormatType,ISAPI,XML Field,,FALSE
311,ipAddress,ISAPI,XML Field,,FALSE
312,managePortNo,ISAPI,XML Field,,FALSE
313,srcInputPort,ISAPI,XML Field,,FALSE
314,userName,ISAPI,XML Field,,FALSE
315,streamType,ISAPI,XML Field,,FALSE
316,online,ISAPI,XML Field,,FALSE
317,streamingProxyChannelId,ISAPI,XML Field,,FALSE
318,streamingProxyChannelId,ISAPI,XML Field,,FALSE
319,inputProxyPortIdList,ISAPI,XML Field,,FALSE
320,outputProxyPortIdList,ISAPI,XML Field,,FALSE
321,chanDetectResult,ISAPI,XML Field,,FALSE
322,PasswordStatus,ISAPI,XML Field,,FALSE
323,id,ISAPI,XML Field,,FALSE
324,proxyProtocol,ISAPI,XML Field,,FALSE
325,addressingFormatType,ISAPI,XML Field,,FALSE
326,ipAddress,ISAPI,XML Field,,FALSE
327,managePortNo,ISAPI,XML Field,,FALSE
328,srcInputPort,ISAPI,XML Field,,FALSE
329,userName,ISAPI,XML Field,,FALSE
330,streamType,ISAPI,XML Field,,FALSE
331,online,ISAPI,XML Field,,FALSE
332,streamingProxyChannelId,ISAPI,XML Field,,FALSE
333,streamingProxyChannelId,ISAPI,XML Field,,FALSE
334,inputProxyPortIdList,ISAPI,XML Field,,FALSE
335,outputProxyPortIdList,ISAPI,XML Field,,FALSE
336,chanDetectResult,ISAPI,XML Field,,FALSE
337,PasswordStatus,ISAPI,XML Field,,FALSE
338,id,ISAPI,XML Field,,FALSE
339,proxyProtocol,ISAPI,XML Field,,FALSE
340,addressingFormatType,ISAPI,XML Field,,FALSE
341,ipAddress,ISAPI,XML Field,,FALSE
342,managePortNo,ISAPI,XML Field,,FALSE
343,srcInputPort,ISAPI,XML Field,,FALSE
344,userName,ISAPI,XML Field,,FALSE
