No,Fields Name,Path,Type,Deskripsi,Status
283,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
284,userName,ISAPI,XML Field,Technical parameter,FALSE
285,streamType,ISAPI,XML Field,Technical parameter,FALSE
286,online,ISAPI,XML Field,Technical parameter,FALSE
287,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
288,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
289,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
290,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
291,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
292,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
293,id,ISAPI,XML Field,Technical parameter,FALSE
294,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
295,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
296,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
297,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
298,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
299,userName,ISAPI,XML Field,Technical parameter,FALSE
300,streamType,ISAPI,XML Field,Technical parameter,FALSE
301,online,ISAPI,XML Field,Technical parameter,FALSE
302,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
303,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
304,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
305,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
306,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
307,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
308,id,ISAPI,XML Field,Technical parameter,FALSE
309,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
310,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
311,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
312,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
313,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
314,userName,ISAPI,XML Field,Technical parameter,FALSE
315,streamType,ISAPI,XML Field,Technical parameter,FALSE
316,online,ISAPI,XML Field,Technical parameter,FALSE
317,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
318,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
319,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
320,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
321,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
322,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
323,id,ISAPI,XML Field,Technical parameter,FALSE
324,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
325,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
326,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
327,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
328,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
329,userName,ISAPI,XML Field,Technical parameter,FALSE
330,streamType,ISAPI,XML Field,Technical parameter,FALSE
331,online,ISAPI,XML Field,Technical parameter,FALSE
332,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
333,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
334,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
335,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
336,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
337,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
338,id,ISAPI,XML Field,Technical parameter,FALSE
339,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
340,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
341,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
342,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
343,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
344,userName,ISAPI,XML Field,Technical parameter,FALSE
